ID,sp,Stage,t (¡C),Day 1,Day 4,Day 6,Day 7,Day 9,Day 10,Day 13,Day 15,Day 17,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 33,Day 35,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 46,Day 47,Day 48,Day 49,Day 50,Day 52,Day 53,Day 54,Day 55,Day 57,Day 59,Day 60,Day 67,Day 76
D_133,Myrmeleon_hyalinus,3,33,0,0,0,23.53,0,P,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,
D_137,Myrmeleon_hyalinus,3,33,0,P,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_139,Myrmeleon_hyalinus,3,33,41.34,0,0,P,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_141,Myrmeleon_hyalinus,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_143,Myrmeleon_hyalinus,3,33,38.43,0,27.57,46.48,0,P,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_144,Myrmeleon_hyalinus,2,33,35.55,40.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_146,Myrmeleon_hyalinus,3,33,41.16,0,0,0,0,P,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_148,Myrmeleon_hyalinus,3,33,29.24,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_15,Myrmeleon_hyalinus,3,33,24.47,0,0,0,0,0,P,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_151,Myrmeleon_hyalinus,3,33,44.72,0,12.36,45.89,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_153,Myrmeleon_hyalinus,3,33,32.4,0,0,17.3,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_19,Myrmeleon_hyalinus,3,33,0,0,0,P,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_2,Myrmeleon_hyalinus,3,33,42.93,56.98,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_21,Myrmeleon_hyalinus,3,33,21.02,20.97,0,P,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_22,Myrmeleon_hyalinus,3,33,0,0,P,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_24,Myrmeleon_hyalinus,3,33,0,0,0,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_26,Myrmeleon_hyalinus,3,33,0,0,0,0,0,P,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_28,Myrmeleon_hyalinus,3,33,34.86,0,0,0,P,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_30,Myrmeleon_hyalinus,3,33,0,0,0,P,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_31,Myrmeleon_hyalinus,2,33,41.81,43.85,48.63,53.17,23.44,0,0,P,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,
D_34,Myrmeleon_hyalinus,2,33,35.81,0,0,0,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_36,Myrmeleon_hyalinus,1,33,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_38,Myrmeleon_hyalinus,3,33,0,0,0,0,P,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_4,Myrmeleon_hyalinus,3,33,62.54,60.15,62.2,62.31,18.37,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_40,Myrmeleon_hyalinus,3,33,24.03,0,0,0,P,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_42,Myrmeleon_hyalinus,3,33,20.51,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_43,Myrmeleon_hyalinus,2,33,0,42.51,36.54,32.6,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_45,Myrmeleon_hyalinus,3,33,43.88,49.7,48.46,46.36,18.34,0,0,P,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,
D_47,Myrmeleon_hyalinus,3,33,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_49,Myrmeleon_hyalinus,3,33,34.53,21.44,0,0,0,P,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_51,Myrmeleon_hyalinus,3,33,19.73,0,0,0,0,P,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_54,Myrmeleon_hyalinus,3,33,33.78,32.43,0,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_55,Myrmeleon_hyalinus,2,33,28.58,13.23,0,P,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_58,Myrmeleon_hyalinus,3,33,29.16,0,0,0,P,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_61,Myrmeleon_hyalinus,1,33,38.47,48.32,63.97,58.67,57.86,56.67,53.28,64.25,56.65,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_63,Myrmeleon_hyalinus,1,33,36.94,35.88,36.97,38.54,39.35,42.63,25.27,0,39.4,0,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_65,Myrmeleon_hyalinus,1,33,35.81,33.69,,44.48,,48.94,59.15,56.45,61.97,62.52,NA,0,0,P,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,
D_66,Myrmeleon_hyalinus,3,33,37.84,36.27,15.66,0,0,0,0,P,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_67,Myrmeleon_hyalinus,2,33,41.09,42.77,27.45,0,0,0,0,P,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,
D_69,Myrmeleon_hyalinus,3,33,29.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,,,,,,,
